Data set,layers,maxGen,pop_size,mutation_rate,mutation_range,crossover_rate,loss1,loss2
abalone,0,500,500,0.5,10,0.5,0.077655414252637,0.010937724950395
abalone,0,500,500,0.5,10,0.5,0.074785021048758,0.01041079350707
abalone,0,500,500,0.5,10,0.5,0.07790399712617,0.011732722366103
abalone,0,500,500,0.5,10,0.5,0.072274396996101,0.009498299508424
abalone,0,500,500,0.5,10,0.5,0.076872204733777,0.011520233784564
abalone,0,500,500,0.5,10,0.5,0.076583046616446,0.010697752068679
abalone,0,500,500,0.5,10,0.5,0.077045592025106,0.011412870655212
abalone,0,500,500,0.5,10,0.5,0.074770859400121,0.010645966032787
abalone,0,500,500,0.5,10,0.5,0.074110234391935,0.010018605026818
abalone,0,500,500,0.5,10,0.5,0.076608829604744,0.010429551248079
abalone,1,500,500,0.8,10,0.2,0.059697262750033,0.006027731427138
abalone,1,500,500,0.8,10,0.2,0.054762604904768,0.005762758926743
abalone,1,500,500,0.8,10,0.2,0.060145033081156,0.006791426544407
abalone,1,500,500,0.8,10,0.2,0.059371623670565,0.006967278111063
abalone,1,500,500,0.8,10,0.2,0.05720493803185,0.006361244791856
abalone,1,500,500,0.8,10,0.2,0.053218682100188,0.005827553575217
abalone,1,500,500,0.8,10,0.2,0.057473690547919,0.006197581959926
abalone,1,500,500,0.8,10,0.2,0.056855399096153,0.006110564369971
abalone,1,500,500,0.8,10,0.2,0.056447855920712,0.006075411475395
abalone,1,500,500,0.8,10,0.2,0.05861444465028,0.006825443381613
Cancer,0,500,500,0.8,10,0.5,90.0306685749336,90
Cancer,0,500,500,0.8,10,0.5,87.4811256005491,87.1428571428571
Cancer,0,500,500,0.8,10,0.5,82.3080694185704,81.4285714285714
Cancer,0,500,500,0.8,10,0.5,85.7615502776793,85.7142857142857
Cancer,0,500,500,0.8,10,0.5,88.3431108292374,88.5714285714286
Cancer,0,500,500,0.8,10,0.5,85.8127230220253,85.7142857142857
Cancer,0,500,500,0.8,10,0.5,93.0253420049338,92.8571428571429
Cancer,0,500,500,0.8,10,0.5,87.5589957872384,87.1428571428571
Cancer,0,500,500,0.8,10,0.5,82.8571428571429,82.8571428571429
Cancer,0,500,500,0.8,10,0.5,91.3455772113943,91.304347826087
