layers,position_range,velocity_range,omega,c1,c2,vmax,pop_size,loss1,loss2,average loss2
0,10,1,0.5,5,0.9,1,1000,0.069410327143214,0.008392491905132,0.009398095675214
0,10,1,0.5,5,0.9,1,1000,0.072428559081765,0.009662061104728,0.009398095675214
0,10,1,0.5,5,0.9,1,1000,0.073705533564019,0.010139734015783,0.009398095675214
0,10,1,0.8,5,0.1,1,1000,0.069638887727566,0.0085499338714,0.009419579278102
0,10,1,0.8,5,0.1,1,1000,0.07205340562997,0.009645147073701,0.009419579278102
0,10,1,0.8,5,0.1,1,1000,0.07326592156688,0.010063656889206,0.009419579278102
0,10,1,0.2,5,0.9,1,1000,0.069967781151091,0.008667929255737,0.009435112642071
0,10,1,0.2,5,0.9,1,1000,0.071635166449562,0.009580308704051,0.009435112642071
0,10,1,0.2,5,0.9,1,1000,0.073291544211128,0.010057099966425,0.009435112642071
0,10,1,0.5,0.5,0.5,1,1000,0.068971276513751,0.008382857511649,0.009472924059218
0,10,1,0.5,0.5,0.5,1,1000,0.071724419166731,0.009648750936742,0.009472924059218
0,10,1,0.5,0.5,0.5,1,1000,0.073472951978411,0.010387163729262,0.009472924059218
0,10,1,0.2,0.9,0.9,1,1000,0.069476358274605,0.008468612120373,0.00947593861611
0,10,1,0.2,0.9,0.9,1,1000,0.072516883519909,0.009881967857388,0.00947593861611
0,10,1,0.2,0.9,0.9,1,1000,0.073777248470469,0.010077235870568,0.00947593861611
0,10,1,0.2,5,0.1,1,1000,0.069459996971269,0.008445687804208,0.009655732743782
0,10,1,0.2,5,0.1,1,1000,0.072444069748594,0.009882561334382,0.009655732743782
0,10,1,0.2,5,0.1,1,1000,0.075330782961652,0.010638949092757,0.009655732743782
0,10,1,0.2,0.5,0.5,1,1000,0.069925895471363,0.00874731909769,0.009680156650723
0,10,1,0.2,0.5,0.5,1,1000,0.073233834055644,0.009763665281245,0.009680156650723
0,10,1,0.2,0.5,0.5,1,1000,0.074110538685756,0.010529485573235,0.009680156650723
0,10,1,0.2,0.9,0.1,1,1000,0.069766743665223,0.00851846802951,0.009689564373106
0,10,1,0.2,0.9,0.1,1,1000,0.072898194287876,0.009889786217263,0.009689564373106
0,10,1,0.2,0.9,0.1,1,1000,0.075776053753443,0.010660438872546,0.009689564373106
0,10,1,0.2,5,0.5,1,1000,0.068947763045387,0.008423581738151,0.00969163061584
0,10,1,0.2,5,0.5,1,1000,0.074058823559833,0.010222964035143,0.00969163061584
0,10,1,0.2,5,0.5,1,1000,0.0743135323416,0.010428346074227,0.00969163061584
0,10,1,0.5,5,0.5,1,1000,0.069435152687318,0.008477980832494,0.009691968384687
0,10,1,0.5,5,0.5,1,1000,0.072055728860745,0.009599550602812,0.009691968384687
0,10,1,0.5,5,0.5,1,1000,0.076313849996719,0.010998373718754,0.009691968384687
0,10,1,0.2,0.9,0.5,1,1000,0.069701317632655,0.0085817453735,0.009736614258315
0,10,1,0.2,0.9,0.5,1,1000,0.073458669178396,0.010310605144,0.009736614258315
0,10,1,0.2,0.9,0.5,1,1000,0.073024937367503,0.010317492257446,0.009736614258315
