Data set,layers,position_range,velocity_range,omega,c1,c2,vmax,pop_size,loss1,loss2,average
Cancer,0,10,1,0.2,0.1,0.1,1,10,85.71428571428571,85.9305538868196,77.81671533110837
Cancer,0,10,1,0.2,0.1,0.1,1,10,87.1428571428571,87.51959210650551,77.81671533110837
Cancer,0,10,1,0.2,0.1,0.1,1,10,60.0,60.0,77.81671533110837
Cancer,0,10,1,0.2,0.1,0.1,1,100,88.57142857142858,88.7444431094557,88.76462947269992
Cancer,0,10,1,0.2,0.1,0.1,1,100,95.7142857142857,95.7393483709273,88.76462947269992
Cancer,0,10,1,0.2,0.1,0.1,1,100,81.4285714285714,81.81009693771679,88.76462947269992
Cancer,0,10,1,0.2,0.1,0.1,1,1000,88.57142857142858,88.70748299319729,90.62823335939429
Cancer,0,10,1,0.2,0.1,0.1,1,1000,97.1428571428571,97.1745738073213,90.62823335939429
Cancer,0,10,1,0.2,0.1,0.1,1,1000,85.71428571428571,86.0026432776643,90.62823335939429
Cancer,0,10,1,0.2,0.1,0.1,7,10,75.71428571428571,76.03809523809521,82.6945569942398
Cancer,0,10,1,0.2,0.1,0.1,7,10,90.0,90.23547880690741,82.6945569942398
Cancer,0,10,1,0.2,0.1,0.1,7,10,81.4285714285714,81.81009693771679,82.6945569942398
Cancer,0,10,1,0.2,0.1,0.1,7,100,88.57142857142858,88.70748299319729,89.70018535712433
Cancer,0,10,1,0.2,0.1,0.1,7,100,98.57142857142858,98.57978279030908,89.70018535712433
Cancer,0,10,1,0.2,0.1,0.1,7,100,81.4285714285714,81.8132902878666,89.70018535712433
Cancer,0,10,1,0.2,0.1,0.1,7,1000,88.57142857142858,88.70748299319729,90.61714818520686
Cancer,0,10,1,0.2,0.1,0.1,7,1000,97.1428571428571,97.1745738073213,90.61714818520686
Cancer,0,10,1,0.2,0.1,0.1,7,1000,85.71428571428571,85.969387755102,90.61714818520686
Cancer,0,10,1,0.2,0.1,0.1,15,10,82.8571428571429,83.1166646641836,76.62179255429886
