Data set,layers,position_range,velocity_range,omega,c1,c2,C1 > c2,c1<=c2,c1=c2,vmax,pop_size,loss1,loss2,average,,,
forestfires,0,10,1,0.2,0.1,5,FALSE,TRUE,FALSE,1,1000,0.151660771102181,0.035877720802271,0.033111676838109,count,value,param
forestfires,0,10,1,0.8,5,0.1,TRUE,FALSE,FALSE,1,1000,0.1489345626273,0.036189112458415,0.033136956413963,7,0.2,omega
forestfires,0,10,1,0.2,5,5,FALSE,TRUE,TRUE,1,100,0.157399098487399,0.037048660092982,0.033433790573399,4,0.5,omega
forestfires,0,10,1,0.2,0.9,5,FALSE,TRUE,FALSE,1,1000,0.151403406004612,0.036340039762077,0.03352797162058,1,0.8,omega
forestfires,0,10,1,0.5,0.1,0.5,FALSE,TRUE,FALSE,1,1000,0.159032826759764,0.037328641951897,0.033809370393632,4,0.1,c1
forestfires,0,10,1,0.2,0.5,0.9,FALSE,TRUE,FALSE,1,1000,0.165653937007185,0.038310122912147,0.033882476436263,2,0.5,c1
forestfires,0,10,1,0.2,5,0.1,TRUE,FALSE,FALSE,1,1000,0.162034020089168,0.038352798558404,0.0340203612943,1,0.9,c1
forestfires,0,10,1,0.5,0.1,0.9,FALSE,TRUE,FALSE,1,1000,0.153690694027988,0.036579123624005,0.034059503479293,5,5,c1
forestfires,0,10,1,0.5,5,0.5,TRUE,FALSE,FALSE,1,1000,0.156126469684638,0.037687594107287,0.034091166422983,4,0.1,c2
forestfires,0,10,1,0.2,5,0.9,TRUE,FALSE,FALSE,1,1000,0.159083806297813,0.037240257933587,0.034153866795162,2,0.5,c2
forestfires,0,10,1,0.5,0.5,0.1,TRUE,FALSE,FALSE,1,1000,0.161786643236403,0.038709808876875,0.034169795023069,3,0.9,c2
forestfires,0,10,1,0.2,0.1,0.1,FALSE,TRUE,TRUE,7,1000,0.161334082609605,0.0380950350349,0.034251720122276,3,5,c2
forestfires,0,10,1,0.2,5,5,FALSE,TRUE,TRUE,1,1000,0.159167501528991,0.038031140060027,0.034363802078426,,,
forestfires,0,10,1,0.5,0.1,0.1,FALSE,TRUE,TRUE,15,1000,0.164479504604085,0.03799153266539,0.034425337883165,,,
forestfires,0,10,1,0.5,5,0.1,TRUE,FALSE,FALSE,7,1000,0.164113187584022,0.038278329346053,0.03445539532967,,,
forestfires,0,10,1,0.2,0.1,0.1,FALSE,TRUE,TRUE,1,1000,0.162593763190563,0.037468975577232,0.034487828745963,,,
forestfires,0,10,1,0.2,5,0.1,TRUE,FALSE,FALSE,15,1000,0.162846893478655,0.038724441845387,0.034573190778634,,,
forestfires,0,10,1,0.2,5,0.1,TRUE,FALSE,,7,1000,0.15646692716532,0.036540895524388,0.034607242735665,,,
forestfires,0,10,1,0.2,0.9,0.9,FALSE,TRUE,,7,1000,0.163072038419936,0.038532797532196,0.034734552327747,,,
forestfires,0,10,1,0.2,0.1,5,FALSE,TRUE,,1,100,0.154862443448541,0.041265302977824,0.034793932463641,,,
forestfires,0,10,1,0.2,0.1,0.1,FALSE,TRUE,,15,1000,0.151224053371016,0.036299417912578,0.034829072165446,,,
forestfires,0,10,1,0.5,0.1,0.1,FALSE,TRUE,,1,1000,0.158126527081415,0.037072065257593,0.034849555311693,,,
forestfires,0,10,1,0.2,0.5,0.1,TRUE,FALSE,,7,1000,0.156294069449547,0.037242360028946,0.034914444114224,,,
