Data set,layers,position_range,velocity_range,omega,c1,c2,c1>c2,c1=c2,c1<c2,vmax,pop_size,loss1,loss2,average,,,
glass,0,10,1,0.5,5,5,FALSE,TRUE,FALSE,1,1000,100,100,97.0328282828283,count ,value ,param
glass,0,10,1,0.2,0.1,5,FALSE,FALSE,TRUE,1,1000,100,100,96.969696969697,6,0.2,omega
glass,0,10,1,0.2,0.9,5,FALSE,FALSE,TRUE,1,1000,100,100,95.6381118881119,2,0.5,omega
glass,0,10,1,0.2,0.5,5,FALSE,FALSE,TRUE,1,1000,100,100,95.5096418732782,1,0.8,omega
glass,0,10,1,0.2,5,5,FALSE,TRUE,FALSE,1,1000,100,100,95.5096418732782,3,0.1,c1
glass,0,10,1,0.5,0.1,5,FALSE,FALSE,TRUE,1,1000,100,100,95.5096418732782,2,0.5,c1
glass,0,10,1,0.2,0.5,5,FALSE,FALSE,TRUE,1,100,95.4545454545455,95.959595959596,92.5606946659578,2,0.9,c1
glass,0,10,1,0.8,0.9,0.5,TRUE,FALSE,FALSE,1,1000,100,100,92.0247933884297,2,5,c1
glass,0,10,1,0.2,0.1,5,FALSE,FALSE,TRUE,1,100,95.4545454545455,93.3884297520661,90.4940843800024,0,0.1,c2
glass,0,10,1,0.2,0.9,5,FALSE,FALSE,TRUE,7,1000,100,100,88.6363636363636,1,0.5,c2
glass,0,10,1,0.2,0.9,5,FALSE,FALSE,TRUE,1,100,95.4545454545455,93.3884297520661,88.1252968557044,0,0.9,c2
glass,0,10,1,0.2,0.5,5,FALSE,FALSE,TRUE,7,1000,90.9090909090909,88.7970615243342,87.420657935012,8,5,c2
glass,0,10,1,0.8,5,0.9,TRUE,FALSE,FALSE,1,1000,100,100,86.3769003162943,,,
glass,0,10,1,0.8,0.5,0.5,FALSE,TRUE,FALSE,1,1000,90.9090909090909,92.0454545454546,85.8531746031746,,,
glass,0,10,1,0.2,5,5,FALSE,TRUE,FALSE,1,100,95.4545454545455,93.3884297520661,84.9127640036731,,,
glass,0,10,1,0.5,0.5,5,FALSE,FALSE,TRUE,1,1000,100,100,84.435261707989,,,
glass,0,10,1,0.8,0.1,0.5,FALSE,FALSE,TRUE,1,1000,81.8181818181818,81.8181818181818,84.38816476929,,,
glass,0,10,1,0.8,5,0.5,TRUE,FALSE,FALSE,1,1000,95.4545454545455,93.3884297520661,84.3820018365473,,,
glass,0,10,1,0.2,0.5,5,FALSE,FALSE,TRUE,15,1000,100,100,83.1559181559181,,,
glass,0,10,1,0.2,0.1,5,FALSE,FALSE,TRUE,15,1000,95.4545454545455,93.3884297520661,81.9672190884312,,,
glass,0,10,1,0.8,0.1,5,FALSE,FALSE,TRUE,1,1000,100,100,81.8181818181818,,,
glass,0,10,1,0.8,0.9,0.9,FALSE,TRUE,FALSE,1,1000,95.4545454545455,95.959595959596,81.4248475538798,,,
glass,0,10,1,0.2,5,5,FALSE,TRUE,FALSE,7,1000,100,100,80.610538886401,,,
glass,0,10,1,0.5,5,0.9,,,,1,1000,81.8181818181818,81.8181818181818,79.4297977112969,,,
glass,0,10,1,0.8,0.9,0.1,,,,7,1000,90.9090909090909,88.7445887445888,79.4013659849437,,,
glass,0,10,1,0.2,0.9,5,,,,15,1000,90.9090909090909,92.8096757044126,77.3885787701577,,,
glass,0,10,1,0.5,0.5,0.9,,,,7,1000,90.9090909090909,88.7445887445888,77.1959513107839,,,
glass,0,10,1,0.8,0.5,5,,,,1,1000,100,100,76.6566766566767,,,
glass,0,10,1,0.2,5,5,,,,15,1000,100,100,76.1793943166492,,,
glass,0,10,1,0.5,0.9,5,,,,1,100,72.7272727272727,65.1515151515152,75.6734006734007,,,
glass,0,10,1,0.8,0.9,0.1,,,,1,1000,86.3636363636364,83.7465564738292,75.1051571432803,,,
glass,0,10,1,0.5,5,0.9,,,,7,1000,86.3636363636364,83.7465564738292,75.0342927709699,,,
glass,0,10,1,0.5,0.9,0.9,,,,1,1000,81.8181818181818,79.8701298701299,74.9250671410559,,,
glass,0,10,1,0.8,0.5,0.9,,,,1,1000,81.8181818181818,83.5167464114833,74.7017748333538,,,
glass,0,10,1,0.5,0.9,0.9,,,,15,1000,86.3636363636364,85.1592851592852,74.6985645261508,,,
glass,0,10,1,0.5,0.1,0.5,,,,15,1000,77.2727272727273,71.969696969697,73.7734487734488,,,
glass,0,10,1,0.8,0.1,0.9,,,,1,1000,95.4545454545455,93.3884297520661,73.1641086186541,,,
glass,0,10,1,0.5,0.5,5,,,,1,100,81.8181818181818,79.7061524334252,72.7434518343609,,,
glass,0,10,1,0.8,5,0.1,,,,1,1000,81.8181818181818,77.1349862258953,72.6487751414437,,,
glass,0,10,1,0.5,0.5,0.9,,,,1,1000,86.3636363636364,83.7465564738292,72.3960383051292,,,
glass,0,10,1,0.8,0.1,0.1,,,,1,1000,86.3636363636364,83.7465564738292,72.3778844160076,,,
glass,0,10,1,0.5,0.9,0.5,,,,7,1000,90.9090909090909,88.7445887445888,72.2945838781616,,,
glass,0,10,1,0.5,0.5,0.5,,,,15,1000,95.4545454545455,95.541539799913,72.0618263979508,,,
glass,0,10,1,0.8,5,0.1,,,,15,1000,86.3636363636364,83.7465564738292,71.9811753902663,,,
glass,0,10,1,0.8,0.1,0.1,,,,7,1000,90.9090909090909,88.7445887445888,71.3958302234165,,,
