Data set,layers,position_range,velocity_range,omega,c1,c2,vmax,pop_size,loss1,loss2,average
machine,0,10,1,0.2,0.5,5,1,1000,0.023925479878987,0.001367339385036,0.000951290292745
machine,0,10,1,0.5,0.9,5,1,1000,0.02859093519207,0.001688067786317,0.001112455069061
machine,0,10,1,0.5,5,5,1,1000,0.036052457723465,0.003330783801035,0.001465132469602
machine,0,10,1,0.2,0.9,5,1,1000,0.026256060785377,0.001682364302718,0.001684858379529
machine,0,10,1,0.5,0.1,5,1,1000,0.026684616996054,0.001535396707986,0.002013892106008
machine,0,10,1,0.5,0.5,0.9,15,1000,0.03292959033862,0.003557135200545,0.002179572989218
machine,0,10,1,0.2,0.1,5,1,10,0.048702623474948,0.005909705813609,0.003504678045828
machine,0,10,1,0.5,0.1,0.9,15,1000,0.035520526872561,0.003564053470952,0.003587300400908
machine,0,10,1,0.5,0.5,0.9,1,1000,0.032897040749544,0.003570924333778,0.004054177399919
machine,0,10,1,0.2,5,5,1,10,0.041411468072416,0.003349274913756,0.004191937434581
machine,0,10,1,0.2,0.1,5,7,100,0.042682197808112,0.005041893071637,0.004199284340754
machine,0,10,1,0.5,5,0.5,15,1000,0.036273907130578,0.003661609109802,0.00431818998445
machine,0,10,1,0.8,0.1,0.1,15,1000,0.037624505880836,0.003794499473515,0.004351304648801
machine,0,10,1,0.2,0.5,5,7,10,0.058362305562477,0.006765442012098,0.004529712036356
machine,0,10,1,0.8,0.5,0.1,15,1000,0.033363296533767,0.003570609760553,0.004558940633448
machine,0,10,1,0.5,5,0.9,15,1000,0.046295821673504,0.004566061269662,0.004660867015471
machine,0,10,1,0.8,0.9,0.5,1,1000,0.037955974778978,0.002798445238342,0.004749668305147
machine,0,10,1,0.2,0.9,0.9,15,1000,0.048407258191162,0.004841992677772,0.004980935001444
machine,0,10,1,0.2,5,5,7,100,0.028993545398322,0.001900535185842,0.005090666836076
machine,0,10,1,0.5,0.9,0.9,7,1000,0.041512446059162,0.003190131092066,0.005149452943891
machine,0,10,1,0.2,5,5,7,1000,0.064080363566679,0.010079621467289,0.005167369645396
machine,0,10,1,0.8,0.1,0.1,7,1000,0.041045095735528,0.006167757220876,0.005241100908963
machine,0,10,1,0.8,5,0.1,1,1000,0.047122122000038,0.004247887413577,0.005242892352705
machine,0,10,1,0.8,0.5,0.1,7,1000,0.043280625871652,0.003551969628066,0.005327866385691
machine,0,10,1,0.5,0.9,0.9,1,1000,0.035976118780289,0.003640669530963,0.005442244272267
machine,0,10,1,0.5,5,0.9,1,1000,0.037433847383434,0.003285500823776,0.005483532637985
machine,0,10,1,0.8,5,0.1,7,1000,0.036555135002966,0.003654070383587,0.005507990469661
machine,0,10,1,0.8,0.5,0.1,1,1000,0.051189362482708,0.005923335368826,0.005510194733634
machine,0,10,1,0.5,0.1,0.9,1,1000,0.034242702166796,0.003512496119706,0.005557792210741
machine,0,10,1,0.5,5,0.5,7,1000,0.038593717284701,0.003851371621168,0.0055828932934
machine,0,10,1,0.2,0.9,5,7,1000,0.047944389338861,0.008027132886983,0.005666447509263
machine,0,10,1,0.8,0.9,0.1,15,1000,0.034590693850116,0.003590974646332,0.005698878703537
machine,0,10,1,0.5,5,0.9,1,100,0.038126995529418,0.003984267425315,0.005719559642007
