Data set,layers,position_range,velocity_range,omega,c1,c2,vmax,pop_size,loss1,loss2,average
soybean,0,10,1,0.2,0.1,0.1,15,10,100,100,100
soybean,0,10,1,0.2,0.1,0.1,15,100,100,100,100
soybean,0,10,1,0.2,0.1,0.1,15,1000,100,100,100
soybean,0,10,1,0.5,0.1,0.1,7,10,100,100,100
soybean,0,10,1,0.5,0.1,0.1,7,10,100,100,100
soybean,0,10,1,0.5,0.1,0.1,7,100,100,100,100
soybean,0,10,1,0.5,0.1,0.1,7,100,100,100,100
soybean,0,10,1,0.5,0.1,0.1,7,1000,100,100,100
soybean,0,10,1,0.5,0.1,0.1,7,1000,100,100,100
soybean,0,10,1,0.5,0.1,0.1,15,10,100,100,100
soybean,0,10,1,0.5,0.1,0.1,15,10,100,100,100
soybean,0,10,1,0.5,0.1,0.1,15,100,100,100,100
soybean,0,10,1,0.5,0.1,0.1,15,100,100,100,100
soybean,0,10,1,0.5,0.1,0.1,15,1000,100,100,100
soybean,0,10,1,0.5,0.1,0.1,15,1000,100,100,100
soybean,0,10,1,0.8,0.1,0.1,1,10,100,100,100
soybean,0,10,1,0.8,0.1,0.1,1,100,100,100,100
soybean,0,10,1,0.8,0.1,0.1,1,1000,100,100,100
soybean,0,10,1,0.8,0.1,0.1,7,10,100,100,100
soybean,0,10,1,0.8,0.1,0.1,7,10,100,100,100
soybean,0,10,1,0.8,0.1,0.1,7,100,100,100,100
soybean,0,10,1,0.8,0.1,0.1,7,100,100,100,100
soybean,0,10,1,0.8,0.1,0.1,7,1000,100,100,100
soybean,0,10,1,0.8,0.1,0.1,7,1000,100,100,100
soybean,0,10,1,0.8,0.1,0.1,15,10,100,100,100
soybean,0,10,1,0.8,0.1,0.1,15,10,100,100,100
soybean,0,10,1,0.8,0.1,0.1,15,100,100,100,100
soybean,0,10,1,0.8,0.1,0.1,15,100,100,100,100
soybean,0,10,1,0.8,0.1,0.1,15,1000,100,100,100
soybean,0,10,1,0.8,0.1,0.1,15,1000,100,100,100
soybean,0,10,1,0.8,0.1,0.1,1,100,100,100,93.3333333333333
soybean,0,10,1,0.8,0.1,0.1,1,1000,100,100,93.3333333333333
soybean,0,10,1,0.8,0.1,0.1,7,100,100,100,90.6666666666667
soybean,0,10,1,0.8,0.1,0.1,7,1000,100,100,90.6666666666667
soybean,0,10,1,0.5,0.1,0.1,1,10,100,100,86.6666666666667
soybean,0,10,1,0.5,0.1,0.1,1,100,100,100,86.6666666666667
soybean,0,10,1,0.5,0.1,0.1,1,100,100,100,86.6666666666667
soybean,0,10,1,0.5,0.1,0.1,1,1000,100,100,86.6666666666667
soybean,0,10,1,0.5,0.1,0.1,1,100,100,100,85.5555555555556
soybean,0,10,1,0.5,0.1,0.1,1,1000,100,100,85.5555555555556
soybean,0,10,1,0.5,0.1,0.1,1,100,100,100,84.4444444444444
soybean,0,10,1,0.5,0.1,0.1,1,1000,100,100,84.4444444444444
