Data set,layers,omega,c1,c2,vmax,pop_size,maxIter,loss1,loss2
Cancer,0,0.1,0.1,0.1,1,1000,500,88.7991718426501,88.5714285714286
Cancer,0,0.1,0.1,0.1,1,1000,500,94.2857142857143,94.2857142857143
Cancer,0,0.1,0.1,0.1,1,1000,500,87.1841100076394,87.1428571428571
Cancer,0,0.1,0.1,0.1,1,1000,500,88.8411588411589,88.5714285714286
Cancer,0,0.1,0.1,0.1,1,1000,500,87.3195035782227,87.1428571428571
Cancer,0,0.1,0.1,0.5,1,1000,500,87.4456156088809,87.1428571428571
Cancer,0,0.1,0.1,0.5,1,1000,500,95.7420282905778,95.7142857142857
Cancer,0,0.1,0.1,0.5,1,1000,500,88.5714285714286,88.5714285714286
Cancer,0,0.1,0.1,0.5,1,1000,500,87.4746723673204,87.1428571428571
Cancer,0,0.1,0.1,0.5,1,1000,500,87.3195035782227,87.1428571428571
Cancer,0,0.1,0.1,0.9,1,1000,500,87.4456156088809,87.1428571428571
Cancer,0,0.1,0.1,0.9,1,1000,500,95.7420282905778,95.7142857142857
Cancer,0,0.1,0.1,0.9,1,1000,500,88.5714285714286,88.5714285714286
Cancer,0,0.1,0.1,0.9,1,1000,500,88.8411588411589,88.5714285714286
Cancer,0,0.1,0.1,0.9,1,1000,500,87.3195035782227,87.1428571428571
Cancer,0,0.1,0.1,3,1,1000,500,86.0952380952381,85.7142857142857
Cancer,0,0.1,0.1,3,1,1000,500,94.2857142857143,94.2857142857143
Cancer,0,0.1,0.1,3,1,1000,500,88.5714285714286,88.5714285714286
Cancer,0,0.1,0.1,3,1,1000,500,88.8411588411589,88.5714285714286
Cancer,0,0.1,0.1,3,1,1000,500,87.3195035782227,87.1428571428571
Cancer,0,0.1,0.5,0.1,1,1000,500,88.7991718426501,88.5714285714286
Cancer,0,0.1,0.5,0.1,1,1000,500,95.7420282905778,95.7142857142857
Cancer,0,0.1,0.5,0.1,1,1000,500,87.1841100076394,87.1428571428571
Cancer,0,0.1,0.5,0.1,1,1000,500,88.8411588411589,88.5714285714286
Cancer,0,0.1,0.5,0.1,1,1000,500,87.3195035782227,87.1428571428571
Cancer,0,0.1,0.5,0.5,1,1000,500,88.7991718426501,88.5714285714286
Cancer,0,0.1,0.5,0.5,1,1000,500,94.2857142857143,94.2857142857143
Cancer,0,0.1,0.5,0.5,1,1000,500,87.1841100076394,87.1428571428571
Cancer,0,0.1,0.5,0.5,1,1000,500,90.2580785079159,90
Cancer,0,0.1,0.5,0.5,1,1000,500,87.3195035782227,87.1428571428571
Cancer,0,0.1,0.5,0.9,1,1000,500,88.7991718426501,88.5714285714286
Cancer,0,0.1,0.5,0.9,1,1000,500,95.7420282905778,95.7142857142857
Cancer,0,0.1,0.5,0.9,1,1000,500,88.5714285714286,88.5714285714286
Cancer,0,0.1,0.5,0.9,1,1000,500,88.8411588411589,88.5714285714286
Cancer,0,0.1,0.5,0.9,1,1000,500,87.3195035782227,87.1428571428571
Cancer,0,0.1,0.5,3,1,1000,500,86.0952380952381,85.7142857142857
Cancer,0,0.1,0.5,3,1,1000,500,94.2857142857143,94.2857142857143
Cancer,0,0.1,0.5,3,1,1000,500,88.5714285714286,88.5714285714286
Cancer,0,0.1,0.5,3,1,1000,500,88.8411588411589,88.5714285714286
Cancer,0,0.1,0.5,3,1,1000,500,87.3195035782227,87.1428571428571
Cancer,0,0.1,0.9,0.1,1,1000,500,88.7991718426501,88.5714285714286
Cancer,0,0.1,0.9,0.1,1,1000,500,95.7420282905778,95.7142857142857
Cancer,0,0.1,0.9,0.1,1,1000,500,88.5714285714286,88.5714285714286
Cancer,0,0.1,0.9,0.1,1,1000,500,88.8411588411589,88.5714285714286
Cancer,0,0.1,0.9,0.1,1,1000,500,87.3195035782227,87.1428571428571
Cancer,0,0.1,0.9,0.5,1,1000,500,87.4456156088809,87.1428571428571
Cancer,0,0.1,0.9,0.5,1,1000,500,95.7420282905778,95.7142857142857
Cancer,0,0.1,0.9,0.5,1,1000,500,88.5714285714286,88.5714285714286
Cancer,0,0.1,0.9,0.5,1,1000,500,88.8411588411589,88.5714285714286
Cancer,0,0.1,0.9,0.5,1,1000,500,87.3195035782227,87.1428571428571
Cancer,0,0.1,0.9,0.9,1,1000,500,87.4456156088809,87.1428571428571
Cancer,0,0.1,0.9,0.9,1,1000,500,95.7420282905778,95.7142857142857
Cancer,0,0.1,0.9,0.9,1,1000,500,87.1841100076394,87.1428571428571
Cancer,0,0.1,0.9,0.9,1,1000,500,88.8411588411589,88.5714285714286
Cancer,0,0.1,0.9,0.9,1,1000,500,87.3195035782227,87.1428571428571
Cancer,0,0.1,0.9,3,1,1000,500,86.0952380952381,85.7142857142857
Cancer,0,0.1,0.9,3,1,1000,500,94.2857142857143,94.2857142857143
Cancer,0,0.1,0.9,3,1,1000,500,88.5714285714286,88.5714285714286
Cancer,0,0.1,0.9,3,1,1000,500,88.8411588411589,88.5714285714286
Cancer,0,0.1,0.9,3,1,1000,500,87.3195035782227,87.1428571428571
Cancer,0,0.1,3,0.1,1,1000,500,88.7991718426501,88.5714285714286
Cancer,0,0.1,3,0.1,1,1000,500,95.7420282905778,95.7142857142857
Cancer,0,0.1,3,0.1,1,1000,500,87.1841100076394,87.1428571428571
Cancer,0,0.1,3,0.1,1,1000,500,88.8411588411589,88.5714285714286
Cancer,0,0.1,3,0.1,1,1000,500,87.3195035782227,87.1428571428571
Cancer,0,0.1,3,0.5,1,1000,500,90.1578586135896,90
Cancer,0,0.1,3,0.5,1,1000,500,95.7420282905778,95.7142857142857
Cancer,0,0.1,3,0.5,1,1000,500,87.1841100076394,87.1428571428571
Cancer,0,0.1,3,0.5,1,1000,500,88.8411588411589,88.5714285714286
Cancer,0,0.1,3,0.5,1,1000,500,87.3195035782227,87.1428571428571
Cancer,0,0.1,3,0.9,1,1000,500,90.1578586135896,90
Cancer,0,0.1,3,0.9,1,1000,500,95.7420282905778,95.7142857142857
Cancer,0,0.1,3,0.9,1,1000,500,88.5714285714286,88.5714285714286
Cancer,0,0.1,3,0.9,1,1000,500,88.8411588411589,88.5714285714286
Cancer,0,0.1,3,0.9,1,1000,500,87.3195035782227,87.1428571428571
Cancer,0,0.1,3,3,1,1000,500,86.0952380952381,85.7142857142857
Cancer,0,0.1,3,3,1,1000,500,94.2857142857143,94.2857142857143
Cancer,0,0.1,3,3,1,1000,500,88.5714285714286,88.5714285714286
Cancer,0,0.1,3,3,1,1000,500,88.8411588411589,88.5714285714286
Cancer,0,0.1,3,3,1,1000,500,87.3195035782227,87.1428571428571
Cancer,0,0.4,0.1,0.1,1,1000,500,87.4456156088809,87.1428571428571
Cancer,0,0.4,0.1,0.1,1,1000,500,95.7420282905778,95.7142857142857
Cancer,0,0.4,0.1,0.1,1,1000,500,88.5714285714286,88.5714285714286
Cancer,0,0.4,0.1,0.1,1,1000,500,90.2580785079159,90
Cancer,0,0.4,0.1,0.1,1,1000,500,87.3195035782227,87.1428571428571
Cancer,0,0.4,0.1,0.5,1,1000,500,86.0952380952381,85.7142857142857
Cancer,0,0.4,0.1,0.5,1,1000,500,95.7420282905778,95.7142857142857
Cancer,0,0.4,0.1,0.5,1,1000,500,88.5714285714286,88.5714285714286
Cancer,0,0.4,0.1,0.5,1,1000,500,88.8411588411589,88.5714285714286
