Data set,layers,pop,Beta,CR,generations,loss1,loss2,average1,average2
abalone,0,100,0.5,0.8,500,0.066582723158211,0.008171782839346,0.07327217553353,0.010081561927519
abalone,0,100,0.5,0.8,500,0.068358353864487,0.008971911872147,0.07327217553353,0.010081561927519
abalone,0,100,0.5,0.8,500,0.070707433051177,0.009341793886358,0.07327217553353,0.010081561927519
abalone,0,100,0.5,0.8,500,0.072749156264157,0.009850049998962,0.07327217553353,0.010081561927519
abalone,0,100,0.5,0.8,500,0.073082290956156,0.010136908026725,0.07327217553353,0.010081561927519
abalone,0,100,0.5,0.8,500,0.074949805872232,0.010865842678325,0.07327217553353,0.010081561927519
abalone,0,100,0.5,0.8,500,0.07576646305835,0.009949775999583,0.07327217553353,0.010081561927519
abalone,0,100,0.5,0.8,500,0.076368172449013,0.011217119383881,0.07327217553353,0.010081561927519
abalone,0,100,0.5,0.8,500,0.076972799162414,0.011194100295999,0.07327217553353,0.010081561927519
abalone,0,100,0.5,0.8,500,0.077184557499103,0.011116334293864,0.07327217553353,0.010081561927519
abalone,1,100,0.2,0.8,500,0.049998667444785,0.004626930854959,0.056582739087612,0.006146287690016
abalone,1,100,0.2,0.8,500,0.052318442315914,0.004806905142361,0.056582739087612,0.006146287690016
abalone,1,100,0.2,0.8,500,0.054772393531851,0.0058032078013,0.056582739087612,0.006146287690016
abalone,1,100,0.2,0.8,500,0.056435108729175,0.005989100266251,0.056582739087612,0.006146287690016
abalone,1,100,0.2,0.8,500,0.05732024915589,0.006428819727126,0.056582739087612,0.006146287690016
abalone,1,100,0.2,0.8,500,0.057653541661645,0.006463848619066,0.056582739087612,0.006146287690016
abalone,1,100,0.2,0.8,500,0.057836924160547,0.006558137843987,0.056582739087612,0.006146287690016
abalone,1,100,0.2,0.8,500,0.058790158596607,0.00653343797849,0.056582739087612,0.006146287690016
abalone,1,100,0.2,0.8,500,0.059285801116735,0.006742546940241,0.056582739087612,0.006146287690016
abalone,1,100,0.2,0.8,500,0.061416104162967,0.007509941726378,0.056582739087612,0.006146287690016
abalone,2,100,0.2,0.8,500,0.057151767084455,0.005726115262629,0.061843732576608,0.00719074596981
abalone,2,100,0.2,0.8,500,0.058073482682215,0.006036566740971,0.061843732576608,0.00719074596981
abalone,2,100,0.2,0.8,500,0.058454050534691,0.006488586815127,0.061843732576608,0.00719074596981
abalone,2,100,0.2,0.8,500,0.059176942807863,0.006786010483316,0.061843732576608,0.00719074596981
abalone,2,100,0.2,0.8,500,0.059680756814142,0.006474354928907,0.061843732576608,0.00719074596981
abalone,2,100,0.2,0.8,500,0.05992139242271,0.007198815134428,0.061843732576608,0.00719074596981
abalone,2,100,0.2,0.8,500,0.062077381332668,0.007286279091911,0.061843732576608,0.00719074596981
abalone,2,100,0.2,0.8,500,0.064023125871034,0.008113455224276,0.061843732576608,0.00719074596981
abalone,2,100,0.2,0.8,500,0.066424016046948,0.008572697522497,0.061843732576608,0.00719074596981
abalone,2,100,0.2,0.8,500,0.07345441016935,0.009224578494036,0.061843732576608,0.00719074596981
Cancer,0,500,0.5,0.8,500,81.9078600861294,81.4285714285714,87.3173524900245,87.1180124223602
Cancer,0,500,0.5,0.8,500,82.9867674858223,82.6086956521739,87.3173524900245,87.1180124223602
Cancer,0,500,0.5,0.8,500,85.4980175417518,85.7142857142857,87.3173524900245,87.1180124223602
Cancer,0,500,0.5,0.8,500,85.858464495975,85.7142857142857,87.3173524900245,87.1180124223602
Cancer,0,500,0.5,0.8,500,86.0314523589269,85.7142857142857,87.3173524900245,87.1180124223602
