Data set,layers,pop,Beta,CR,generations,loss1,loss2,average
Cancer,0,500,0.8,0.8,500,63.3255269320843,74.2857142857143,73.8095238095238
Cancer,0,500,0.2,0.1,500,80.8163265306122,80,82.8571428571429
Cancer,0,500,0.8,0.1,500,80.8163265306122,80,82.8571428571429
Cancer,0,500,0.5,0.3,500,80.8163265306122,80,83.3333333333333
Cancer,0,500,0.8,0.3,500,80.8163265306122,80,83.3333333333333
Cancer,0,500,0.2,0.8,500,82.0920001407806,81.4285714285714,84.2857142857143
Cancer,0,500,0.5,0.1,500,83.5568513119534,82.8571428571429,84.2857142857143
Cancer,0,500,0.2,0.3,500,82.0920001407806,81.4285714285714,84.7619047619047
Cancer,0,500,0.5,0.8,500,82.2700962427647,81.4285714285714,84.7619047619048
Cancer,1,500,0.8,0.8,500,63.3255269320843,74.2857142857143,64.7619047619048
Cancer,1,500,0.2,0.1,500,87.2541890017618,87.1428571428571,91.4285714285714
Cancer,1,500,0.5,0.8,500,90.3572308450357,90,91.4285714285714
Cancer,1,500,0.8,0.1,500,90.0865914458148,90,91.4285714285714
Cancer,1,500,0.2,0.8,500,87.2541890017618,87.1428571428571,91.9047619047619
Cancer,1,500,0.5,0.1,500,91.5701017249005,91.4285714285714,91.9047619047619
Cancer,1,500,0.2,0.3,500,90.2361005331303,90,92.3809523809524
Cancer,1,500,0.5,0.3,500,88.7601356332007,88.5714285714286,92.3809523809524
Cancer,1,500,0.8,0.3,500,91.7784256559767,91.4285714285714,92.8571428571429
Cancer,2,500,0.8,0.8,500,63.3255269320843,74.2857142857143,64.7619047619048
Cancer,2,500,0.5,0.8,500,79.6992481203008,78.5714285714286,85.7142857142857
Cancer,2,500,0.8,0.3,500,83.5568513119534,82.8571428571429,88.0952380952381
Cancer,2,500,0.2,0.3,500,88.7601356332007,88.5714285714286,90.4761904761904
Cancer,2,500,0.2,0.8,500,90.2361005331303,90,92.3809523809524
Cancer,2,500,0.2,0.1,500,90.2361005331303,90,93.3333333333333
Cancer,2,500,0.5,0.1,500,94.4571428571429,94.2857142857143,93.3333333333333
Cancer,2,500,0.5,0.3,500,94.4571428571429,94.2857142857143,93.3333333333333
Cancer,2,500,0.8,0.1,500,93.025786095093,92.8571428571429,93.8095238095238
forestfires,0,500,0.2,0.1,500,0.155562427940314,0.041241970446374,0.041366881688036
forestfires,0,500,0.2,0.8,500,0.160513324030669,0.040779646631123,0.041943058919038
forestfires,0,500,0.5,0.3,500,0.15050362280544,0.041691875034512,0.042441913997553
forestfires,0,500,0.2,0.3,500,0.163926606959882,0.041873401349069,0.042507364800412
forestfires,0,500,0.5,0.1,500,0.155219050515171,0.043030769893015,0.049498424036587
forestfires,0,500,0.8,0.1,500,0.165115193944237,0.055003192518923,0.055656450353697
forestfires,0,500,0.8,0.3,500,0.164513615591699,0.058961012218724,0.063330329741324
forestfires,0,500,0.5,0.8,500,0.15933102947903,0.071363562530832,0.073117446420541
forestfires,0,500,0.8,0.8,500,0.167380085521519,0.074560451160598,0.075550837627631
forestfires,1,500,0.2,0.3,500,0.164590772076821,0.041589330268561,0.042195388741556
forestfires,1,500,0.8,0.1,500,0.169897653536118,0.042365696971143,0.042888432764069
forestfires,1,500,0.5,0.3,500,0.159986043795088,0.040888790185517,0.0429413227394
forestfires,1,500,0.2,0.1,500,0.162652941434531,0.042293323689635,0.042968013501482
forestfires,1,500,0.5,0.8,500,0.166811763342277,0.044597297100634,0.043229574024876
forestfires,1,500,0.5,0.1,500,0.159051008511956,0.040523120370703,0.043574377633178
forestfires,1,500,0.2,0.8,500,0.165317644277071,0.046272840358249,0.044689556097758
forestfires,1,500,0.8,0.8,500,0.161564476656567,0.040307887248625,0.044696244842485
forestfires,1,500,0.8,0.3,500,0.175167526945721,0.05759768323329,0.047393802207944
forestfires,2,500,0.8,0.1,500,0.154792813632042,0.040065261205007,0.04168166224781
forestfires,2,500,0.5,0.3,500,0.159127975746075,0.039537376869617,0.041712063192192
forestfires,2,500,0.8,0.3,500,0.161998825203532,0.040251653430424,0.041863076586511
forestfires,2,500,0.2,0.8,500,0.160481207495633,0.040745249881985,0.042009996305338
forestfires,2,500,0.8,0.8,500,0.1599835982846,0.040341178506326,0.042629129798223
forestfires,2,500,0.2,0.3,500,0.162270626359685,0.040880001551524,0.042710816768568
forestfires,2,500,0.2,0.1,500,0.162636822003649,0.041517906231145,0.042753892013164
forestfires,2,500,0.5,0.8,500,0.170116619179945,0.045936316261977,0.043920164101731
