Data set,layers,maxGen,pop_size,mutation_rate,mutation_range,crossover_rate,loss1,loss2,average
abalone,0,500,500,0.5,10,0.5,0.075404383981011,0.010980498986688,0.010672154778773
abalone,0,500,500,0.5,10,0.2,0.074925743449311,0.010706778363438,0.010817896500206
abalone,0,500,500,0.8,10,0.2,0.07830502085797,0.011649887536654,0.011027521507042
abalone,0,500,500,0.2,10,0.2,0.080035688384248,0.011725857565588,0.011163101477847
abalone,0,500,500,0.8,10,0.5,0.081133807489169,0.012192825113845,0.011547674453773
abalone,0,500,500,0.2,10,0.5,0.083157887826913,0.013206061279396,0.011723827537071
abalone,1,500,500,0.8,10,0.2,0.057489081304721,0.006988511920255,0.006525734920788
abalone,1,500,500,0.2,10,0.5,0.058979961298454,0.00725438754402,0.00654201202244
abalone,1,500,500,0.2,10,0.2,0.058410578254795,0.00699827833318,0.006591927576547
abalone,1,500,500,0.5,10,0.2,0.059119374263896,0.007111893928849,0.006640951091947
abalone,1,500,500,0.8,10,0.5,0.058335023173429,0.007030048325044,0.006680590805768
abalone,1,500,500,0.5,10,0.5,0.058470646416049,0.007288526919112,0.006772831591002
abalone,2,500,500,0.2,10,0.2,0.058258509867988,0.006686535613243,0.006231990142687
abalone,2,500,500,0.2,10,0.5,0.05908723010336,0.007345991048145,0.006469611114931
abalone,2,500,500,0.8,10,0.5,0.059015620671037,0.0071255050201,0.006524125433087
abalone,2,500,500,0.5,10,0.5,0.059451190790751,0.006749765414491,0.006543279875652
abalone,2,500,500,0.8,10,0.2,0.05786528808302,0.006963659285879,0.006610722077937
abalone,2,500,500,0.5,10,0.2,0.059140020841998,0.007252226841682,0.006662222697125
Cancer,0,500,500,0.2,10,0.5,91.4285714285714,91.4876338132152,86.3982864857955
Cancer,0,500,500,0.5,10,0.2,91.4285714285714,91.4876338132152,86.3982864857955
Cancer,0,500,500,0.5,10,0.5,91.4285714285714,91.4876338132152,86.3982864857955
Cancer,0,500,500,0.2,10,0.2,91.4285714285714,91.4876338132152,86.8850443269048
Cancer,0,500,500,0.8,10,0.2,90,89.9581405595946,87.2706443418773
Cancer,0,500,500,0.8,10,0.5,91.4285714285714,91.4876338132152,87.8224402643007
Cancer,1,500,500,0.2,10,0.2,95.7142857142857,95.696345954112,96.2178684989125
Cancer,1,500,500,0.8,10,0.2,95.7142857142857,95.7300864392602,96.2291153272952
Cancer,1,500,500,0.2,10,0.5,97.1428571428571,97.1174603174603,97.1557334930894
Cancer,1,500,500,0.5,10,0.5,97.1428571428571,97.1174603174603,97.1557334930894
Cancer,1,500,500,0.8,10,0.5,97.1428571428571,97.1174603174603,97.1557334930894
Cancer,1,500,500,0.5,10,0.2,97.1428571428571,97.1174603174603,97.1643615643616
