Data set,layers,omega,c1,c2,vmax,pop_size,maxIter,loss1,loss2,average
Cancer,0,0.4,3,3,1,1000,500,83.3966033966034,82.8571428571429,88.5714285714286
Cancer,0,0.1,0.1,3,1,1000,500,86.0952380952381,85.7142857142857,88.8571428571428
Cancer,0,0.1,0.5,3,1,1000,500,86.0952380952381,85.7142857142857,88.8571428571428
Cancer,0,0.1,0.9,3,1,1000,500,86.0952380952381,85.7142857142857,88.8571428571428
Cancer,0,0.1,3,3,1,1000,500,86.0952380952381,85.7142857142857,88.8571428571428
Cancer,0,0.4,0.1,0.9,1,1000,500,86.0952380952381,85.7142857142857,88.8571428571428
Cancer,0,0.4,0.5,0.9,1,1000,500,86.0952380952381,85.7142857142857,88.8571428571428
Cancer,0,0.4,0.5,3,1,1000,500,86.0952380952381,85.7142857142857,88.8571428571428
Cancer,0,0.4,0.9,0.5,1,1000,500,86.0952380952381,85.7142857142857,88.8571428571428
Cancer,0,0.4,0.9,0.9,1,1000,500,86.0952380952381,85.7142857142857,88.8571428571428
Cancer,0,0.1,0.1,0.1,1,1000,500,88.7991718426501,88.5714285714286,89.1428571428571
Cancer,0,0.1,0.1,0.5,1,1000,500,87.4456156088809,87.1428571428571,89.1428571428571
Cancer,0,0.1,0.9,0.9,1,1000,500,87.4456156088809,87.1428571428571,89.1428571428571
Cancer,0,0.4,0.1,0.5,1,1000,500,86.0952380952381,85.7142857142857,89.1428571428571
Cancer,0,0.4,0.1,3,1,1000,500,86.0952380952381,85.7142857142857,89.1428571428571
Cancer,0,0.4,0.9,0.1,1,1000,500,87.4456156088809,87.1428571428571,89.1428571428571
Cancer,0,0.4,3,0.9,1,1000,500,87.4456156088809,87.1428571428571,89.1428571428571
Cancer,0,0.1,0.1,0.9,1,1000,500,87.4456156088809,87.1428571428571,89.4285714285714
Cancer,0,0.1,0.5,0.1,1,1000,500,88.7991718426501,88.5714285714286,89.4285714285714
Cancer,0,0.1,0.5,0.5,1,1000,500,88.7991718426501,88.5714285714286,89.4285714285714
Cancer,0,0.1,0.9,0.5,1,1000,500,87.4456156088809,87.1428571428571,89.4285714285714
Cancer,0,0.1,3,0.1,1,1000,500,88.7991718426501,88.5714285714286,89.4285714285714
Cancer,0,0.4,0.5,0.5,1,1000,500,87.4456156088809,87.1428571428571,89.4285714285714
Cancer,0,0.4,0.9,3,1,1000,500,86.0952380952381,85.7142857142857,89.4285714285714
Cancer,0,0.4,3,0.1,1,1000,500,88.7991718426501,88.5714285714286,89.4285714285714
Cancer,0,0.4,3,0.5,1,1000,500,86.0952380952381,85.7142857142857,89.4285714285714
Cancer,0,0.1,0.5,0.9,1,1000,500,88.7991718426501,88.5714285714286,89.7142857142857
Cancer,0,0.1,0.9,0.1,1,1000,500,88.7991718426501,88.5714285714286,89.7142857142857
Cancer,0,0.1,3,0.5,1,1000,500,90.1578586135896,90,89.7142857142857
Cancer,0,0.4,0.1,0.1,1,1000,500,87.4456156088809,87.1428571428571,89.7142857142857
Cancer,0,0.4,0.5,0.1,1,1000,500,88.7991718426501,88.5714285714286,89.7142857142857
Cancer,0,0.1,3,0.9,1,1000,500,90.1578586135896,90,90
Cancer,1,0.4,0.5,3,1,1000,500,97.1428571428571,97.1428571428571,96.2857142857143
Cancer,1,0.1,0.5,3,1,1000,500,95.7393483709273,95.7142857142857,96.5714285714286
Cancer,1,0.1,0.9,3,1,1000,500,97.1428571428571,97.1428571428571,96.5714285714286
Cancer,1,0.4,0.1,0.9,1,1000,500,98.5797827903091,98.5714285714286,96.5714285714286
Cancer,1,0.4,3,3,1,1000,500,97.1428571428571,97.1428571428571,96.5714285714286
Cancer,1,0.1,3,3,1,1000,500,97.1428571428571,97.1428571428571,96.8571428571428
Cancer,1,0.1,0.1,0.5,1,1000,500,97.1745738073213,97.1428571428571,97.1428571428571
Cancer,1,0.1,0.1,3,1,1000,500,97.1428571428571,97.1428571428571,97.1428571428571
Cancer,1,0.1,0.9,0.9,1,1000,500,98.5797827903091,98.5714285714286,97.1428571428571
Cancer,1,0.4,0.1,3,1,1000,500,97.1428571428571,97.1428571428571,97.1428571428571
Cancer,1,0.4,0.9,0.9,1,1000,500,97.1745738073213,97.1428571428571,97.1428571428571
Cancer,1,0.4,3,0.1,1,1000,500,98.5797827903091,98.5714285714286,97.1428571428571
Cancer,1,0.1,0.5,0.9,1,1000,500,98.5797827903091,98.5714285714286,97.1428571428572
Cancer,1,0.4,0.9,3,1,1000,500,98.5797827903091,98.5714285714286,97.1428571428572
Cancer,1,0.1,0.1,0.1,1,1000,500,98.5797827903091,98.5714285714286,97.4285714285714
Cancer,1,0.1,0.1,0.9,1,1000,500,98.5797827903091,98.5714285714286,97.4285714285714
Cancer,1,0.1,0.5,0.1,1,1000,500,98.5797827903091,98.5714285714286,97.4285714285714
Cancer,1,0.1,3,0.9,1,1000,500,97.1745738073213,97.1428571428571,97.4285714285714
Cancer,1,0.4,0.5,0.5,1,1000,500,98.5797827903091,98.5714285714286,97.4285714285714
Cancer,1,0.4,0.5,0.9,1,1000,500,98.5797827903091,98.5714285714286,97.4285714285714
Cancer,1,0.4,3,0.9,1,1000,500,98.5797827903091,98.5714285714286,97.4285714285714
Cancer,1,0.1,0.5,0.5,1,1000,500,98.5797827903091,98.5714285714286,97.7142857142857
Cancer,1,0.1,0.9,0.5,1,1000,500,98.5797827903091,98.5714285714286,97.7142857142857
Cancer,1,0.1,3,0.5,1,1000,500,98.5797827903091,98.5714285714286,97.7142857142857
Cancer,1,0.4,0.1,0.1,1,1000,500,97.1745738073213,97.1428571428571,97.7142857142857
Cancer,1,0.4,0.1,0.5,1,1000,500,98.5797827903091,98.5714285714286,97.7142857142857
Cancer,1,0.4,0.5,0.1,1,1000,500,98.5797827903091,98.5714285714286,97.7142857142857
Cancer,1,0.4,0.9,0.5,1,1000,500,98.5797827903091,98.5714285714286,97.7142857142857
Cancer,1,0.4,3,0.5,1,1000,500,98.5797827903091,98.5714285714286,97.7142857142857
Cancer,1,0.1,0.9,0.1,1,1000,500,98.5797827903091,98.5714285714286,98
Cancer,1,0.1,3,0.1,1,1000,500,98.5797827903091,98.5714285714286,98
Cancer,1,0.4,0.9,0.1,1,1000,500,98.5797827903091,98.5714285714286,98
